timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
4021861032,0.28206196,0.6752558,0.15831418,-0.66287816,-9.919782,1.219506,-0.117190205,39.18594,27.735584,127.39056,0
4021894366,0.31256697,0.700056,0.11135068,-0.6323169,-9.590911,2.9938755,-0.6788443,43.29683,63.789555,222.2919,0
4021927700,0.34531742,0.71825516,0.052773017,-0.60173136,-10.055393,2.369317,-0.35782373,55.9522,36.157158,252.68913,0
4021961034,0.35971636,0.7252987,0.025122462,-0.5864426,-9.75938,3.404051,-0.94088155,26.68485,15.356008,118.04681,0
4021994368,0.3744168,0.7244419,0.008916646,-0.57871985,-8.441867,5.352366,-1.1793382,-6.307421,-5.297888,80.08789,0
4022027702,0.387054,0.7261636,-0.0139096975,-0.56805116,-8.232074,5.337381,-0.7039078,15.203537,-1.2832723,96.32929,0
4022061036,0.39620215,0.7177505,-0.022292232,-0.57215476,-8.917896,6.373305,-0.38293123,-18.49623,-38.879963,34.273003,0
4022094370,0.39822093,0.6975853,-0.018818634,-0.5953495,-8.796265,5.747191,0.32526278,-41.66907,-93.49457,-34.11481,0
4022127704,0.40661663,0.6609607,-0.0059192185,-0.6306814,-8.645849,4.452086,1.2754405,-99.55345,-143.0153,-59.23625,0
4022161038,0.41460118,0.6079002,0.0015476652,-0.67717147,-9.321506,5.162581,2.3136315,-110.00825,-211.71373,-63.046703,0
4022194372,0.4188801,0.53476644,0.018765012,-0.73362964,-7.8331294,4.077477,2.8828533,-153.55956,-265.59067,-106.49071,0
4022227706,0.41192955,0.4677839,0.04043083,-0.780934,-7.083775,3.6214461,4.0086164,-135.71361,-226.03232,-129.46446,0
4022261040,0.40640095,0.398553,0.062836945,-0.8197839,-7.4943633,3.0031917,5.7393374,-144.27252,-217.61559,-115.23007,0
4022294374,0.39764184,0.3304142,0.0760683,-0.85259664,-6.847261,2.4607213,6.752296,-113.65987,-218.36826,-103.14989,0
