timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp_marked
298569061,0.93053585,-0.037089273,-0.06147883,0.3590931,1.2784948,-0.98239905,9.885855,-17.74792,-10.500881,-11.407086,0
298585728,0.93110085,-0.03869362,-0.0633541,0.357128,0.3336037,-0.8304012,9.982092,-15.908189,-6.6300364,-12.839629,0
298602395,0.93136185,-0.039840173,-0.06343977,0.35630536,-0.058060583,-0.5684295,10.153421,-8.166971,3.2653193,-4.50361,0
298619062,0.9314712,-0.04060479,-0.06131798,0.3563045,-0.07366942,-0.68463033,9.923818,0.0024011924,16.172647,1.5685936,0
298635729,0.93149304,-0.041135646,-0.058198303,0.3567095,0.46612132,-0.83410746,9.729779,4.090003,21.83916,4.5624557,0
298652396,0.93146706,-0.041894596,-0.056088652,0.35702658,1.2254456,-1.3507066,9.3742695,0.102995165,15.935243,3.9224672,0
298669063,0.9313205,-0.042797886,-0.0562845,0.35727128,1.3666062,-1.3435574,9.553469,-6.543048,1.499848,3.147411,0
298685730,0.9309176,-0.043681033,-0.05800007,0.35793933,1.0411593,-1.2227741,9.768496,-10.058394,-8.50346,6.0325565,0
298702397,0.93023896,-0.04417559,-0.060218897,0.35927367,0.4735209,-1.0404009,10.143603,-8.626892,-12.99043,10.668168,0
298719064,0.9292598,-0.044093195,-0.061480675,0.36159703,0.37755892,-0.84565187,10.348632,-2.2549708,-8.7198305,17.789127,0
298735731,0.92838293,-0.043494835,-0.060995754,0.36399588,0.4251427,-0.9413612,10.283423,5.4463234,1.1769243,18.328032,0
298752398,0.9277347,-0.04241478,-0.059451208,0.36602625,1.1090652,-1.157476,9.971261,11.086043,6.940583,15.5183525,0
298769065,0.9271587,-0.04122846,-0.058277495,0.3678055,1.4054282,-1.2283088,9.637698,10.749079,4.4110045,13.582859,0
298785732,0.92597705,-0.0399696,-0.05923749,0.37075564,1.0325719,-1.2706714,9.396428,6.113195,-9.947547,21.945604,0
298802399,0.9241399,-0.038865265,-0.060560416,0.37521616,0.36299232,-0.84565556,9.466931,4.6394224,-12.545823,33.194546,0
298819066,0.9216881,-0.037463024,-0.06043705,0.38135967,0.14167081,-0.46119076,9.852838,10.799442,-4.831092,45.736282,0
298835733,0.91862315,-0.035802487,-0.05831353,0.389165,0.32571724,-0.7125586,9.591249,18.212349,6.4830885,58.28417,0
298852400,0.91641295,-0.0349564,-0.055636447,0.39480412,1.0516958,-1.7958419,9.327609,13.890699,13.033884,42.77738,0
298869067,0.9146936,-0.03477154,-0.05509211,0.39886284,1.2220408,-1.3812287,9.682737,3.4496136,1.95918,31.227144,0
298885734,0.9125412,-0.034201942,-0.05632926,0.40364078,0.6554929,-0.7914421,10.2017,1.1529678,-10.634805,36.36712,0
298902401,0.9100477,-0.033097066,-0.057617858,0.40914318,0.44312257,-0.6460301,10.350996,4.568459,-12.745605,41.638855,0
298919068,0.9074685,-0.031689625,-0.058086585,0.4148768,0.5208971,-0.8351787,10.048338,8.839243,-8.553729,43.393288,0
298935735,0.9054209,-0.030471673,-0.058143813,0.41940922,0.68427235,-1.2705319,9.774378,8.466387,-4.9720244,34.547676,0
298952402,0.9031225,-0.02936445,-0.05875513,0.4243297,1.3925654,-1.1039373,9.796546,6.2822084,-8.283652,37.615314,0
298969069,0.90062606,-0.0281944,-0.060980555,0.42937094,1.0993313,-1.2263952,9.689251,1.972069,-18.593107,38.59228,0
298985736,0.89824116,-0.027150786,-0.064037085,0.43396416,0.5257617,-0.69975686,9.942832,-1.4302992,-23.232046,35.380615,0
299002403,0.8955125,-0.025699893,-0.06761238,0.43911907,0.3559618,-0.4981117,10.158683,-0.28020522,-27.907597,39.598564,0
299019070,0.8916617,-0.024277652,-0.069117315,0.44673592,1.0373636,-0.88294333,10.104491,6.7394743,-16.031109,58.52387,0
299035737,0.8867678,-0.022675183,-0.07103261,0.45616168,0.9011734,-0.999364,9.888532,7.2691016,-19.898256,72.66464,0
299052404,0.8830086,-0.02147388,-0.072599426,0.46321073,1.3509591,-1.3435782,9.623637,4.931917,-15.590479,54.86475,0
299069071,0.8794329,-0.020160874,-0.07522104,0.4696097,1.3610158,-1.1592029,9.564586,1.9537513,-22.16192,50.122406,0
299085738,0.87605774,-0.018971307,-0.077549,0.47555146,1.2957251,-0.77944356,9.496594,1.946986,-19.820105,46.813858,0
299102405,0.87142867,-0.017886644,-0.080094755,0.4836085,0.7242801,-0.75933385,9.564193,1.5668114,-21.733208,63.68381,0
299119072,0.8676536,-0.016964588,-0.0813205,0.4901802,0.6032302,-0.94164664,9.625201,4.268291,-12.63121,52.196144,0
299135739,0.864393,-0.015780412,-0.08157138,0.495905,1.2042514,-1.142797,9.832812,8.703704,-7.313059,45.376656,0
299152406,0.8627552,-0.014430406,-0.080944285,0.49889204,1.2280054,-1.2390591,9.634074,11.323294,-1.4534603,23.575632,0
299169073,0.861585,-0.012894372,-0.080846466,0.50096804,1.41096,-0.92582446,9.652085,10.150858,-4.880353,16.411251,0
299185740,0.8605412,-0.011368344,-0.08195223,0.50261676,1.3510684,-1.0410967,9.645106,5.7196746,-11.867107,13.34374,0
299202407,0.85788757,-0.01037728,-0.083781645,0.5068551,0.8599443,-0.55030876,9.55252,1.3871332,-15.409458,34.473682,0
299219074,0.8551466,-0.00974301,-0.08487556,0.51129794,0.6207955,-0.7476354,9.528018,1.9568776,-9.893069,36.242973,0
299235741,0.85327184,-0.009293289,-0.084187634,0.51454204,1.1018593,-0.90906775,9.586865,6.4937572,1.8169695,26.376278,0
299252408,0.8517361,-0.0087381825,-0.0822316,0.5174042,1.5088422,-0.92906463,9.804383,11.398585,9.104205,22.955885,0
299269075,0.8504811,-0.008224902,-0.08100019,0.5196663,1.695865,-1.4821388,9.566069,8.25338,5.204656,18.424547,0
299285742,0.8501667,-0.0075114835,-0.08175289,0.52007383,1.4474965,-1.1705526,9.811705,1.3556355,-6.483011,3.9953449,0
