timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
147139459,0.8459313,0.011919644,0.035889693,0.5319496,-0.5742835,0.40734565,9.961992,7.0795035,29.61181,-0.09358363,0
147172793,0.84561557,0.010625807,0.04409049,0.5318627,-0.6475845,0.44283757,9.5603075,10.928402,25.860802,-0.07721673,0
147206127,0.84508884,0.010082019,0.05323038,0.5318737,-0.69578123,0.5596063,9.42655,14.830822,27.24982,0.67494535,0
147239461,0.844565,0.008479792,0.06273103,0.5316984,-0.97954994,0.5425292,9.781882,12.465239,30.228495,-0.075801924,0
147272795,0.8441211,0.0068794545,0.0700477,0.5315127,-1.2350446,0.6361403,9.698592,8.500334,23.856733,-0.18513668,0
147306129,0.8434972,0.0062279133,0.07624752,0.5316581,-1.3040404,0.69749665,9.630752,9.154955,18.916298,1.3640928,0
147339463,0.84259987,0.005142853,0.08186473,0.5322568,-1.6066961,0.7647769,9.897393,6.7348976,18.084349,3.0792038,0
147372797,0.8419474,0.003948803,0.08789611,0.5323377,-1.5864549,0.8217279,9.674474,7.333873,19.377419,1.0995759,0
147406131,0.8412842,0.0033949236,0.09451823,0.53225535,-1.5115439,0.91541344,9.594421,10.328449,19.906368,0.8362319,0
147439465,0.84059703,0.0017638125,0.1002395,0.53230214,-1.6659983,0.93912154,9.932031,5.530571,19.283041,0.9158672,0
147472799,0.83993006,-0.00054326764,0.10560055,0.5323211,-1.9393952,0.96462524,9.777511,2.9388523,19.472956,0.5697992,0
147506133,0.8391918,-0.0012337969,0.11188152,0.5322014,-2.0359912,1.0062531,9.6364565,9.35174,19.181257,0.8929317,0
147539467,0.8383893,-0.0014118484,0.11800144,0.532144,-2.1401715,1.1649754,9.797606,10.51645,17.790327,1.3910565,0
147572801,0.837631,-0.0016744274,0.12357893,0.5320715,-2.264016,1.2122996,9.710044,9.287067,16.352636,1.2338308,0
147606135,0.8367055,-0.00085393584,0.12980898,0.5320459,-2.2440364,1.2169098,9.177462,13.579007,16.308498,2.143057,0
147639469,0.83549553,0.00093234074,0.13779849,0.53193796,-2.2678716,1.3870476,9.053588,19.609154,19.717873,2.8684201,0
147672803,0.83412886,0.0015332652,0.14489247,0.5321964,-2.5762105,1.5594416,9.591431,14.383689,19.381285,3.651642,0
